text,Joy,Fear,Anger,Sadness,Surprise
We need to go to our house to get it.,0,0,0,0,0
"It seems to me lately A cloud, cruel, innately Has taken up residence in my head.",0,1,0,1,0
I unwrapped the candy and popped it into my mouth.,1,0,0,0,0
is in my eyes... see... Heh.,1,0,0,0,0
"After we had finished eating, some of us continued shopping ( or wandering around the shops ) and a number of times, I was told to crouch down with my knees spread or bend over and had the jumper lifted.",0,1,0,0,0
I still cannot explain this.,0,1,0,0,1
It was the first blog of many that I wrote about having cancer on my nose.,0,1,0,1,0
"The trouble seeps Into my head In my body, I'm caught.",0,1,0,1,0
i think its more like i want to write it down so its not trapped inside my head when i die.,0,1,0,1,0
"Probably going to get buried, spooky as hell, and very real.",0,1,0,0,1
"They don't fear death, and it seems they believe in reincarnation.",0,1,0,0,1
"All those feelings which he had buried deep in his heart, had now, after hundreds of years, risen up.",0,0,0,1,0
"I fumbled my way toward the light, and my fingers closed around the doorknob.",0,1,0,0,0
"It made me feel weird, like my stomach was tightening and I could feel that stupid blush again on the back of my neck and yet I couldn't look away.I don't know how long I stood there, staring into his eyes like that.",0,1,0,0,1
"Well, as we're bowling, my dinner began to not sit well with me, and I had to run to the bathroom.",0,1,0,0,0
Things are relatively quiet.,1,0,0,0,0
"(Oddly, enough, his school is just 30 minutes away from mine.",0,0,0,0,1
"She is a nice religious girl, exactly like the one he wanted to be with.",1,0,0,0,0
I yell but I can't help but feel a sharp stave in my chest.,0,1,0,1,0
My radio was turned on very loud and I used rock music to keep my eyes open.,1,1,0,0,0
"But, when I feel the sand under my feet, hear the roar of the waves and the strength of the gulf winds pushing and pulling the water in a sacred motion, all else is gone.",1,0,0,0,0
"The smell of rain, the feel of the drops against my skin, all were welcome feelings.",1,0,0,0,0
I said sure thing.,1,0,0,0,0
"I showed the bouncer my face, the preferred method to keeping my exclusiveness intact since the tiny club's capacity was at its limit of 87: Once you were inside, you were given in-and-out privilege.",0,0,0,0,0
"Laying my head against his chest, Glen's heart beat is strong against my ear, and my mind wonders back to our life outside of this heaven.",1,0,0,0,0
They were dancing to Bolero.,1,0,0,0,0
I was walking next to the truck on one of those raised cement curb bumpers when my ankle folded in half.,0,1,0,1,0
"I would lay down to bed, blink, and it would be morning.",0,0,0,0,1
My ex and I were both crazy.,0,0,0,0,0
"X-rays do not show soft tissue damage, and I knew my bones were fine.",0,0,0,0,0
"but my heart pounded in my chest and i couldnt breath, couldnt even look at him.",0,1,0,0,0
Eight inches here Nine inches there My feet in the snow.,0,1,0,0,0
"`` Jinki, you were the one fiddling with my hand back at the broadcast.",0,0,0,0,0
He was shaking the bed.,0,1,0,0,0
I just had my super shiok shower at my awesome home and then i use my towel to wipe my face.,1,0,0,0,0
"Fast forward-I was 21, and living in my first apartment.",1,0,0,0,0
I opened my eyes.,1,0,0,0,0
"I looked down at my feet, and saw that the waves had kicked up some of her trash.",0,0,0,0,0
"sleepless nights are so evident on my face, even a cake of foundation and concealer can not hide = ( massive eyebags and bad tired skin.",0,0,0,1,0
This morning after a cup of coffee I went upstairs to get dressed to go running with Scout when something caught my eye on the armrest of my rocking chair.,0,0,0,0,1
Who loses a sock?,0,0,1,0,1
"After repainting my face i realised that i was running about 5-10 minutes behind my schedule to be at my gig on time, but nothing that a little `` safe speeding '' couldn't get me back infront.",0,1,0,0,0
"She began to cry, heaving sobs.",0,1,0,1,0
This girl faked a miscarriage.,0,1,1,1,1
I quickly look behind the trees and the other 'moon' is gone.,0,1,0,0,1
it splatterd HOT cleaning product everywhere and that burnt my arm and left a mark...,0,1,1,1,0
"Earth Base Delta stopped responding to our calls, and we were left alone in the vast emptiness of space.",0,1,0,1,1
"I swallowed a piece of meat, it sort of suctioned to the back of my throat.",0,1,0,0,0
I'll never forget the bitch-death-glare she shot me.,0,1,1,0,0
"It was REALLY nice to feel the sun on my face because the winter blues really are real-for me at least: ) It was Brent's birthday while we were there, and my awesome family throw him a little birthday party ( I was so glad that I didn't have to do a thing )!",1,0,0,0,0
They said they don't remember any man.,0,1,0,1,1
She certainly has the right name... View at the glaciers in the distance.Me being silly... So I had a good morning before going to work and feeling the world-at least the hotel world-crumbling at my feet...,0,1,0,1,0
"All on my lonesome, thanks for all the encouragement, it was worth it, I went on Wednesday morning and it still hurts to sit down / raise my arms / move, but especially my triceps.",0,0,0,1,0
"Enthusiastic and filled with hope I entered the voting booth that was so small I had to duck to get in, and hit my head.",1,0,0,0,1
One time my aunt was sitting on her front porch in her bare feet and she felt a lick.,0,1,0,0,1
Until then I'm just a ghost in the shadows... A very odd ghost that knows her throwaway,0,1,0,1,1
"Linzi and I of course tried them, a decision that I immediately questioned after putting it in my mouth.",0,1,0,0,1
"He did-only he didn't, well he did what I asked him to do but w / out realizing it he didn't spray the back of my arms and well nor did I. CRAP!",0,0,1,0,0
My heart dropped.,0,1,0,0,0
I closed my eyes and felt the elements around me.,1,0,0,0,0
"Like, practice in the morning until all my eye bags come out and my eyes become smaller.",0,1,0,1,0
He txt'd me last week to ask about my knee out of nowhere-wtf.,0,0,1,0,1
"I tried to punch him, but my arms were tied behind my back.",0,1,1,0,0
Put your ray gun to my heeeeeead!,0,1,0,0,1
"My arms dip a little from nerves and I swiftly correct them before the instructor, or anyone else for that matter, can comment.",0,1,0,0,0
"This did not seem to be a malicious spirit, just curious.",0,1,0,0,1
It was horribly intriguing.,1,1,0,0,1
"i hate the idea of not making progress, it breaks my heart to see time being wasted away, standing still-i hate the idea that i can not see the world.",0,1,1,1,0
"Oh, this thread is perfect.",1,0,0,0,0
"I dragged my feet home after a tired day in school ( oh man, it's only the first day! )",0,0,0,1,0
And I have my toe to thank.,1,0,0,0,0
He was just plain GONE into thin air.,0,1,0,1,1
My head pounded from all the screaming.,0,1,0,0,0
This sucks...sorry dude.,0,0,1,1,0
Brighter than if you turned on every light in the room and even brighter than during the day time with the shades up.,0,0,0,0,1
"Still, a creepy happening.",0,1,0,0,1
It was the day after my 20th birthday.,0,0,0,0,0
Please excuse the spelling:~),1,0,0,0,0
Wrapping his arms tightly around me and letting a warm breath escape his mouth onto the back of my neck.,1,0,0,0,0
My brain still is not figuring it out so I am just standing there waiting for my body to cooperate with me.,0,1,0,0,0
"I get cramps and aches in my shoulders when I'm even minutely out of position, just imagine what it's going to be like with a completely different seating system, not to mention an entirely new drive mechanism.",0,1,0,0,0
Do we just leave?,0,1,0,0,1
None of us has mentioned the incident since.,0,1,0,1,1
(It was pretty bad).,0,1,0,1,0
But one criminal shoot from gun to my hand.,0,1,1,0,0
"I pushed her away, looked at the other pups, played, and did all the little `` tests '' but, every time someone turned loose of that the little female pup, she simplly walked over, and crawled in my lap, licked my hand.",1,0,0,0,0
"When i was very ill, in great suffering-such pain that even my skin hurt-i gave up.",0,1,0,1,0
It felt as if this powerful force just knocked the wind out of me.,0,1,0,1,1
I thought maybe the warmth of my skin could coax the color back into existence.,0,0,0,0,0
At least not right away.,0,0,0,0,1
"She laughs, because she's so very nervous.",1,1,0,0,0
"In the past, whenever I've gained weight, it went straight to my hips.",0,0,0,0,0
it was really strange since I braced to hit the wall and ended up falling to the ground.,0,1,0,0,1
The silence cupped my ears where it was all I could see and hear.,0,1,0,1,0
"A voice from below begged, pleaded to be unburied.",0,1,0,1,1
"I also thought it was going to like, eat my brains out or something.So anyway.",0,1,0,0,1
I had a chocolate and got up my nerve to ask about the games.,1,1,0,0,0
"-one roommate never showered, end of the year garbage bags of trash were taken out from her suite.",0,0,1,0,1
"It hurt my ears and gave me a headache, but I left it loud to protest my mom-ness.",0,0,1,0,0
Life readings obviously defective.,0,1,1,0,0
I saw peppermint patties.,1,0,0,0,1
"I wore cologne, to get the feeling right.",1,0,0,0,0
"Laughing about it, we went back up the beach to go home, when we heard a huge bang and saw a bright white flash up by where the houses were.",1,1,0,0,1
"I don't know what it is about my mouth, but it holds onto colour for AGES.",1,0,0,0,0
She had been lucid.,0,0,0,0,1
"Back to earth As I opened my eye, I was lying back on a hospital bed with my right leg elevated, cupped in the hands of the young Indian doctor who had been trying to save my life.",0,1,0,1,0
We ordered some food at Mcdonalds instead of buying food at the theatre because of the ridiculous prices the theatre has.,0,0,1,0,0
"I would always be downloading more music and burn it on new, cheap cds.",1,0,0,0,0
I was wearing 45spf sunscreen and I still got some colour on my forearms.,0,1,0,0,0
"It will not be my dream job, but it will be okay.",1,0,0,1,0
I was so wrapping up in the boy in my arms.,1,0,0,0,0
"Then, all hell broke loose.",0,1,1,0,1
"But, to his dismay, the toilet won't flush.",0,1,1,0,1
We're also thieves.,0,1,0,0,1
I certainly didn't.,0,0,0,0,0
put a smile to my face haha.,1,0,0,0,0
I raised my eyebrows suspiciously.,0,1,0,0,0
I heard footsteps going down to the basement.,0,1,0,0,1
"I used to play halo semi professionally, I know a ton of ppl on xbox live and have met a good amount of them in person at tournaments but a lot I still haven't.",1,0,0,0,0
"I had no other option, not with the way my heart started beating erratically at the mention of his name.",0,1,0,0,1
"To top it all off, my back started to sieze up, possibly due to compensation habits and stress worrying about the issue.",0,1,0,1,0
`` I felt my eyelids swelling shut and the crack in my collarbone started to throb.,0,1,0,1,0
Who was perfectly fine.,0,0,0,0,0
One memorable example was the doubling space pen.,1,0,0,0,1
"I had an ant crawling on my elbow just now, and I flicked him off.",0,1,0,0,0
It just... went away.,0,1,0,1,1
Things started going through my head at this point.,0,1,0,0,0
"In one dream, I was pulling those long, white, stringy, watery stir-fry type vegetables out of my chest.",0,1,0,1,1
"Of course, he realizes what she actually said after the fact.",1,0,0,0,1
We weren't allowed to cover her.,0,1,1,1,0
I got a little burn on my finger and it ticked me off.,0,1,1,1,0
"There was nothing I could do, all things were over Tears were starting to flow from my eyes.",0,1,0,1,0
"I went to his house, and the moment I laid down on his bed, he pulled the blanket off of me and started checking my legs and arms.",0,1,0,0,0
"my head aches, my stomach isn't too happy, my whole body hurts.",0,1,0,1,0
In college we had a lot of foreign students at school.,1,0,0,0,0
painted on my face.,0,0,0,0,0
"My mouth started buzzing, then fingers, arms and legs.",0,1,0,0,0
"My face, I could almost swear, is still red, flushing.",0,1,0,0,0
She shows up to work the next day with bruises It was too much to handle.,0,1,0,1,1
"I was ecstatic, but the joy was fleeting.",1,0,0,1,0
"It captures and exemplifies everything a year on the cushion entailed: Showing up, working hard, exerting effort, maintaining sincere intent, paying close attention, shutting my mouth, opening my eyes, sweating, getting dirty, bleeding, waiting, tipping over, falling down, getting up, staying the course.",1,0,0,0,0
"The part my grandfather said was broken and would lead to his doom, was broken.",0,1,0,1,1
"Most mornings, I was hardly able to move my neck at all until after I'd spent a good 15 minutes letting really hot water pound down on it in the shower.",0,1,0,0,0
"I know this will get buried, but whatever.",0,0,0,1,0
"As we were winding our way up the steep hill leading to the cemetery, out of the corner of my eye, I caught a glimpse of a bird coming right at my car, a bird with a HUGE wing-span.",0,1,0,0,1
My mind was uncooperative when a pen finally found my hand.,0,1,1,0,0
I learned a lot about my teeth during my visit today.,1,0,0,0,0
So far in this class my eyes have been opened to the power of writing and the enjoyment it can bring to me.,1,0,0,0,0
"Only reason I looked is because some user said ""dreads are cool"".",1,0,0,0,1
I wish there was some way to know which dreams were going to come true.,0,1,0,1,1
But I spent two days reading and still didn't hit the end of this thread.,0,1,1,0,1
"`` I'm fine, '' Amanda said forcefully, shrugging off her hand.",0,0,1,0,0
No one was there.,0,1,0,1,1
never felt so depressed before.,0,0,0,1,0
Like John and Will.,0,0,0,0,0
Then it hit me.,0,1,0,0,1
I could see them all.,1,0,0,0,1
My stomach felt like it had a hole in it.,0,1,0,1,0
"Even with an armed officer of the law at my back, it was a bit unnerving to open the front door.",0,1,0,0,0
"After getting all warm, I went and got my nails done.",1,0,0,0,0
I felt the sadness like a heaviness-a weight on my heart.,0,0,0,1,0
"Kinda freaky, but it never struck me deep.",0,1,0,1,1
The stone inside my heart was removed; ).,1,0,0,0,0
"Of course, in the end I had a better essay to hand in ( can't remember how this impacted the grade ) but I didn't feel like the work I was turning in was mine.So when I'm editing Jenn's work a shiver runs down my spine that my father is also standing above my shoulder editing my edits.",0,1,0,0,0
I found an old sweatshirt on the floor and tied it tightly around my leg.,0,1,0,0,0
"Me nude on facebook, already two comments.",0,1,0,0,1
"However, I made sure to take a few swishes of water just so my mouth felt like it got a lot of moisture.",1,0,0,0,0
It hadn't been plugged in and cell phones keep time automatically.,0,0,0,0,1
My heart melted.,1,0,0,0,0
"My throat hurts, I have a headache and my ears are crackling.",0,1,0,0,0
3rd I really don't know... Any of the main characters really..,0,1,0,0,0
I know why I got one I have constant allergy symptoms and my head was wet with constant snot.,0,1,0,1,0
"""Well I have loads, you can share mine"".",1,0,0,0,0
"You guys were asking me, why am i so quiet and you guys are not use to me shutting my mouth.",0,0,0,0,0
"Well, since everyone is giving their lovely stories...",1,0,0,0,0
The whole bathroom was very elegant and nicely decorated.,1,0,0,0,0
"I think I watched the last 20 laps holding my breath, and the last ten with my hands over my eyes.",0,1,0,0,0
"Face down in an unfamiliar bed, he turned blinking in unexpected sunlight.",0,1,0,0,1
"It constantly snarled in the fine hairs on the back of my neck and left red marks on my temples when it snapped, sending the steel tips of the rubber band into my face.",0,1,1,0,1
Weird guy to say the least,0,1,0,0,1
This will probably get buried but...,0,1,0,1,0
And found myself giggling that every day at the same time (3:15) Jesus would sign into the guest register.,1,0,0,0,1
"I approach him start to speak... `` Excuse me... what where Annie's last... '', and before I could get ` working hours ' out of my mouth, a celeberty young artist of 24 stalks in, her name is Silvery White.",0,0,0,0,1
Totally creeped me out.,0,1,0,0,1
"Except, I don't fall unconscious.",0,1,0,0,1
Grant you I still don't have total use of my shoulder and I have to use my left arm for certain things but it was wonderful to drive again.,1,0,0,0,0
She had jet black hair and was only about five feet tall.,0,0,0,0,1
"And my ears are stuffed and I can't blow my nose, and I woke up today with the most terrible headache and everything's too hot.",0,1,0,1,0
"Let me put it this way: I burned so much as a kid that my nose is permanently red.I look back on all of this skin damage, and wish I could go back to my old self and do some kind of scared straight intervention.",0,0,0,1,0
I had a really nice boss and a kush part-time accounting job during college.,1,0,0,0,0
Nothing but the dark.,0,1,0,1,0
"I stumbled out of bed, probably 4 in a morning in a most-asleep daze and went to the bathroom.",0,1,0,0,0
Standing in court on my 23rd birthday being sentenced was the most ball shattering terrifying moment of my life,0,1,0,1,1
No time to explain and no one understood it was a misunderstanding.,0,1,1,1,0
`` My eyes widened.,0,1,0,0,1
"I opened it up and there was a different tape in it titled ""new year""",0,0,0,0,1
"I stood there at the front door with the key in my hand and every time I tried to unlock it, I started shaking so much that I couldn't get the key in the lock!",0,1,0,0,0
She though she could sneak one out..... ended up dripping poop throughout the department store.,1,1,0,0,1
"' By now, a small intense knot of hatred swelling in my stomach.",0,0,1,0,0
I most certainly had change.,0,0,0,0,0
I screamed the chest pain was so bad i clutched my chest.,0,1,0,0,0
"Bitch daniel splashed fish water @ my face, lmfao.",0,0,1,0,0
My heart leaped and I held out my palm.,1,0,0,0,1
"So, in order to impress her I put on a brave face and shook my head with a scoff.",0,0,0,0,0
This idea has been crashing around in my head so I had no choice but to finally write something.,0,1,0,0,0
"' Then, I focused my eyes and looked at it again and saw $ 24.99 and was a little disappointed.",0,0,0,1,0
I remember waiting for him to fall down.,0,1,1,0,0
Blotted out the moon.,0,1,0,0,1
"In the late afternoon I am lying in the sun, my music plugged firmly into my ears, dancing.",1,0,0,0,0
Deer getting hit by snow plows (very messy).,0,1,0,1,1
"Edward, I can't put my arms down.",0,1,0,0,0
THEN fall in love.,1,0,0,0,1
Fairly certain I got a back rub from my boyfriend though.,1,0,0,0,1
she ate most of the sandwich then threw it back at my head.,0,1,1,0,0
It hurt so much.,0,1,0,1,0
"There was the tiniest pause in my head for a moment, as I looked round at her.",0,1,0,0,0
`` The dead elf that lives in my head. '',1,1,0,1,1
"im not ashamed to say sometimes i have more fun clipping my nails, pumicing my feet, moisturizing my body and watching the Wedding Planner on TBS with a mask on my face while conditioning my hands and feet with special lotion and gloves & booties on.",1,0,0,0,0
I never saw the other kid for the rest of the time there.,0,0,0,1,0
I remember being scared shitless.,0,1,0,0,0
"I jumped up frantically ( the receptionist cast an odd glance toward me, and some net users stared ) and looked at my hands.",0,1,0,0,0
"Occasionally they will sit out there and smoke cigarettes, which is fine..",0,0,0,0,0
still cant get my head around the fact that this time 2 weeks ill be home.,0,1,0,0,0
"However untrue I know this is intellectually -- for I still have family in Indiana, Aunts, Uncles, Cousins, and my Grandfather Lucas, who is still alive and kickin ' -- I still can not ignore this damned shade that keeps popping up over my shoulder and whisper's my worst fear: `` Alone. ''",0,1,0,1,0
Then we finally saw what was going on.,1,1,0,0,1
My stomach is ichy and achy.,0,1,0,1,0
So my leg is shaking at a million miles an hour and I turn into the target parking lot as she sort of continues to follow me.,0,1,0,0,0
Talk about nerve-racking.,0,1,0,0,0
In the eastern States right up to my neck of the woods in Canada.,0,0,0,0,0
And the turbulence and near-death experiences.I hurt my neck again too.,0,1,0,1,0
in a rather large company.,0,0,0,0,0
My throat goes dry and my cough sounds not even human at some points.,0,1,0,0,0
Nobody disagreed with red carding the coach.,0,0,0,0,0
"I made sure to run my hand along the length of that wall knowing that Brad Pitt, George Clooney & Matt Damon had stood there, sad but true!",1,0,0,1,0
So we get there and order some drinks.,1,0,0,0,0
"Every movement of the body below my waist caused pain, in such a way that I could anticipate it and, with a bit of understanding, even cope.",0,1,0,1,0
The last week I've gone to bed at 7 every morning with house music blasting in my ear and have woken up with only an appetite for more.,1,0,0,0,0
My nose was still clogged and breathing out of just one nostril has become a work of art for me but I decided I was up for a loop through the neighborhood.,0,1,0,1,0
Just helping a kid.,1,0,0,0,0
"""Mom"" never disciplined them.",0,1,1,0,0
I couldn't believe my eyes.,0,0,0,0,1
"I've tried sewing pants and a skirt for Vivian but both turned out too short, so I'm sending them to Baby G. I burned my fingers four times in two days.",0,1,0,0,0
"My long brown hair caressed my face, small curls wrapping around my ear softly.",1,0,0,0,0
Charlie was so crazy!,1,0,0,0,1
"this is why i get up every day, lace up my chucks and keep a smile on my face through all sorts of patron issues.",1,0,0,0,0
"There was an awkward, frozen moment as we all acknowledged each other and as my brain scrambled to make sense of this ""hallucination"".",0,1,0,0,1
I was incredibly nervous; I had butterflies in my stomach and my legs felt weak.,0,1,0,0,0
"When I was raised, my parents had a strict religious work ethic.",0,0,0,1,0
"I was petrified, he looked really calm.",0,1,0,0,1
Most I've met off Craigslist.,0,1,0,0,1
At this point my cousin notices that his house is decorated entirely with circus clowns.,0,1,0,0,1
"What is truly remarkable about this brotherhood of my moms uncles, is that they all radiate the same aura.",1,0,0,0,0
"I handed him the Ipod he just moved on, I felt the blood dripping down my nose.",0,1,0,1,0
"My eyes constantly throbbed from being so dry, even though there always seemed to be tears to cry at night.",0,1,0,1,0
""" and told me ""Spook"" was racist.",0,1,1,0,1
At one point it even came up to my foot to nibble on the grass near my toes.,1,0,0,0,0
I've got it all planned up in my head,1,0,0,0,0
"I don't know how, but as soon as we started, I got 3 numbers in a row completely correct.",1,0,0,0,1
I thought she was stuck-up and nerdy.,0,0,1,0,0
I fell asleep with visions of 5 grand dancing in my head.,1,0,0,0,0
"I could feel it on my back; cold, wet and aged.",0,1,0,1,0
"Then I decided to try and get up to go to the restroom, but I couldn't move!",0,1,0,0,1
Yea I'm with you there man.,1,0,0,0,0
This was the worse night of my life.,0,1,0,1,0
"As I lay upon the table with my eyes closed awaiting a peaceful treatment, she began to talk... OH NO!",0,1,0,0,1
It was mutually beneficial.,1,0,0,0,0
House almost burned down the weekend they were out of town.,0,1,0,1,1
"I have lots of acquaintances, and a few people that I hang out with on a regular basis, but I still haven't found a friend that I actually like a whole lot, because after maybe a month or four, everyone that I get semi-close to starts to get on my nerves.",0,1,1,0,0
Im wasting my time doing nothing with my sister's E5700 hanging on my neck.,0,1,0,0,0
I pushed those thoughts out of my head and told myself I was being paranoid.,0,1,0,0,0
That may be unverifiable.,0,1,0,0,0
"We didn't know what to do: the harder we pulled, the harder the trap stuck to my fingers.",0,1,0,0,0
My aunt and I are kind of doing the remedial training together and I can't wait to get on his back.,0,0,0,0,0
"By the time I got done, my back was killing me ( but then it has been a problem since the last week of December ) and I felt pretty ill, but I got it done.",0,0,0,1,0
""" Those little blonde kids!",0,0,0,0,1
I walked out kamiyacho station with a big question mark in my head.,0,1,0,0,1
he got pretty fucking scared and started sprinting away from me.,0,1,0,0,1
"He was then hit by congestive heart failure, fell into a coma, and passed away.",0,1,0,1,1
"""I LOVE YOU, I LOVE YOU, I LOVE YOU...""",1,0,0,0,0
"The next day I turned it back on and all was fine, and when I checked the sample music and my own, there was nothing that sounded even remotely similar.",1,0,0,0,1
My friend set me up on a blind date with this woman.,1,1,0,0,1
"I nodded, pulling my arms across my chest, hoping that the rain obscured the tears that ran from my eyes.",0,1,0,1,0
"I mentally refused to go there, shaking my head violently in that refusal.",0,1,1,0,0
"and sometimes an elbow to your side makes you realize that you better get moving too!time waits for no man, tom waites makes my spine tremble, and thyme makes a good spice.",0,1,0,0,0
"I close my mouth in a fine line, remembering one line after another.",0,1,0,1,0
"My eyes followed, noting that there was just the two of us.",0,0,0,0,0
7) Went to dinner with a woman in an open relationship.,1,1,0,0,0
"My left clav essentially blew up, but it didn't stop there.",0,1,0,0,1
"I pull the trigger, feel the recoil in my hand along with the professionally, almost muted sound and watch him shudder and then go limp against me.",0,1,1,1,0
good lord... where to start well i was getting ready to leave for rocky... and my mom saw me and pulled me aside to `` tirm '' my hair... what was once close to my shoulders is no more... now i kinda look like man at arms.,0,0,0,0,0
My brain's been cooking up too many ideas that I can't even write out for future references.,0,1,0,0,0
"The priest must have taken pity on me because of the rain, because my hands were otherwise engaged, and apparently because he thought I looked smokin ' hot.",1,0,0,0,0
It started out like a small ache but as the day progressed it turned into this sharp jabbing pain in my ear.,0,1,0,0,0
"I'm that forgotten tear That forgot to fall Yet lingers on my cheek Brush it away And it's still there Lick it up, And feel it burn your throat, Stripping it red raw.",0,1,0,1,0
Best/worst physics class of my life.,1,1,0,1,1
"Maybe my nose is often runny, but I can smell danger well enough.",0,1,0,0,0
It was a this point I caught something out of the corner of my eye.,0,0,0,0,1
There was a red burn mark on my chin for a couple of weeks.,0,0,0,1,0
"I turn around, hoping my back hid part of my drawing and look down at the paper in front of Ryutaro, my hand only inches away from his and start to explain the directions a little clearer to him.",0,0,0,0,0
I caught a co-worker stealing my prescription migraine medicine.,0,1,1,0,1
"I just happened to hold the stresses and frustrations ( that most kids probably have with school, parents, new friends ) in my eyes.",0,1,0,1,0
"Ok, I'll tell you something which is both very creepy and very, very real.",0,1,0,0,1
"And when I say online banking, it was not internet banking.",0,0,0,0,1
There's a couple dead rats and the basement had a lot of old broken furniture.,0,1,0,1,0
"Sometimes my eyes feel so transparent, so rubbing them helps my eye lids feel real.",0,1,0,0,0
I run to grab my friend only to see him dancing with another asian girl.,0,0,1,1,1
"So, my father owns a insurance agency.",0,0,0,0,0
"`` Well then, by all means, curl my toes. ''",0,0,0,0,0
"Somehow, with visions of doll masks and pocket 6s dancing my head, I still managed to fall asleep.",0,1,0,0,1
"On the second block, it hit me.",0,1,0,0,1
I could feel my heart breaking into millions of pieces.,0,0,0,1,0
I get real scared now.,0,1,0,0,0
I'm lost in my own little world.,0,1,0,1,0
Heart racing as well.,0,1,0,0,1
She never went through general anesthesia again.,0,1,0,1,0
"It started out slow, like we'd fight once a month over stupid little things and sometimes big things.",0,1,1,1,0
